epsilon_progress,nfe
0,0
34,100
541,1195
1008,2291
1407,3390
1829,4485
2182,5576
2468,6675
2721,7770
2987,8863
3186,9961
3694,12480
4083,15000
4448,17520
4780,20038
5063,22558
5359,25078
5618,27598
5851,30117
6059,32637
6250,35156
6420,37676
6595,40196
6753,42715
6909,45235
7028,47755
7177,50272
7335,52791
7471,55306
7635,57826
7755,60346
7877,62865
7994,65385
8108,67903
8206,70421
8311,72941
8398,75461
8481,77980
8558,80500
8645,83020
8723,85540
8791,88059
8857,90579
8908,93099
8966,95619
9015,98138
9067,100657
9125,103177
9175,105696
9227,108214
9289,110730
9331,113248
9375,115768
9415,118286
9442,120804
9472,123321
9506,125841
9528,128358
9558,130878
9579,133398
9603,135916
9624,138435
9652,140955
9673,143471
9687,145988
9705,148507
9717,151027
9728,153547
9744,156064
9754,158583
9765,161103
9775,163622
9783,166136
9789,168654
9798,171172
9808,173689
9815,176208
9826,178726
9832,181245
9837,183763
9840,186283
9846,188800
9852,191315
9857,193833
9865,196353
9871,198873
9874,201390
