epsilon_progress,nfe
0,0
35,100
444,1192
847,2192
1217,3287
1554,4383
1928,5481
2300,6577
2531,7672
2690,8769
2913,9867
3384,12128
3698,14291
3986,16455
4271,18619
4543,20783
4761,22947
4985,25111
5161,27275
5363,29438
5547,31601
5738,33763
5901,35925
6058,38087
6188,40249
6315,42413
6402,44577
6483,46741
6561,48903
6659,51067
6725,53230
6784,55393
6851,57555
6907,59717
6962,61881
7004,64042
7037,66205
7067,68369
7095,70531
7133,72695
7165,74858
7194,77022
7222,79185
7243,81349
7271,83513
7293,85675
7317,87834
7338,89997
7352,92160
7377,94324
7399,96488
7411,98651
7430,100814
7451,102978
7459,105141
7483,107303
7499,109467
7507,111628
7519,113789
7537,115951
7551,118113
7560,120276
7573,122437
7586,124601
7596,126765
7603,128926
7616,131087
7626,133248
7642,135409
7648,137565
7652,139729
7660,141890
7666,144053
7672,146215
7677,148377
7686,150541
7692,152704
7699,154866
7705,157027
7709,159189
7716,161350
7720,163514
7724,165676
7727,167837
7735,169999
7740,172157
7746,174319
7753,176482
7755,178643
7757,180805
7764,182968
7768,185128
7771,187288
7774,189448
7780,191609
7783,193765
7789,195927
7792,198085
7794,200242
